emp_id,emp_no,emp_nm,dept_cd,dept_nm,job_grade,position_nm,role_type,hire_dt,resign_dt,yn_employed,emp_email
10013,A200001,지성호,D001,IT개발1팀,사원,일반,developer,2020-01-15,,Y,10013@company.com
10018,A190001,윤중수,D003,IT운영팀,차장,파트장,operator,2019-12-26,,Y,10018@company.com
10055,A210001,이아름,D010,준법감시팀,대리,일반,business,2021-06-23,,Y,10055@company.com
10070,A230001,장정숙,D007,리스크관리팀,차장,파트장,business,2023-04-03,,Y,10070@company.com
10106,A160001,하예원,D003,IT운영팀,과장,일반,operator,2016-10-16,,Y,10106@company.com
10116,A170001,오영철,D003,IT운영팀,사원,일반,operator,2017-02-05,,Y,10116@company.com
10212,A230002,김은정,D003,IT운영팀,부장,팀장,operator,2023-11-21,,Y,10212@company.com
10235,A190002,최민준,D009,심사팀,차장,파트장,business,2019-02-16,,Y,10235@company.com
10256,A230003,김종수,D003,IT운영팀,대리,일반,operator,2023-04-21,2025-01-30,N,10256@company.com
10305,A240001,이영호,D011,기획팀,대리,일반,business,2024-08-20,,Y,10305@company.com
10316,A190003,김지민,D004,정보보안팀,대리,일반,security,2019-07-09,,Y,10316@company.com
10376,A170002,박정식,D006,영업2팀,차장,파트장,business,2017-06-16,,Y,10376@company.com
10483,A210002,김정희,D005,영업1팀,과장,일반,business,2021-10-18,,Y,10483@company.com
10638,A240002,한현숙,D003,IT운영팀,사원,일반,operator,2024-01-27,,Y,10638@company.com
10689,A190004,백정희,D007,리스크관리팀,사원,일반,business,2019-11-13,,Y,10689@company.com
10775,A190005,김수민,D006,영업2팀,대리,일반,business,2019-02-11,,Y,10775@company.com
10800,A170003,김정희,D001,IT개발1팀,대리,일반,developer,2017-12-05,,Y,10800@company.com
10812,A230004,백옥자,D003,IT운영팀,대리,일반,operator,2023-11-07,,Y,10812@company.com
10819,A170004,허순옥,D002,IT개발2팀,대리,일반,developer,2017-05-20,,Y,10819@company.com
10869,A190006,이병철,D008,경영지원팀,사원,일반,business,2019-09-20,2023-02-21,N,10869@company.com
10904,A230005,이예은,D008,경영지원팀,사원,일반,business,2023-08-09,,Y,10904@company.com
10976,A190007,윤경숙,D012,고객서비스팀,과장,일반,business,2019-12-14,,Y,10976@company.com
11029,A240003,김미경,D001,IT개발1팀,과장,일반,developer,2024-09-06,,Y,11029@company.com
11041,A230006,이은영,D009,심사팀,사원,일반,business,2023-06-07,,Y,11041@company.com
11051,A200002,오은지,D005,영업1팀,부장,팀장,business,2020-07-21,,Y,11051@company.com
11180,A240004,백준서,D002,IT개발2팀,사원,일반,developer,2024-01-29,,Y,11180@company.com
11253,A210003,이정희,D009,심사팀,부장,팀장,business,2021-06-04,2022-09-17,N,11253@company.com
11268,A170005,김우진,D005,영업1팀,차장,파트장,business,2017-03-12,,Y,11268@company.com
11302,A240005,박영미,D013,자산운용팀,대리,일반,business,2024-05-28,,Y,11302@company.com
11307,A190008,김은주,D001,IT개발1팀,과장,일반,developer,2019-01-04,2025-01-01,N,11307@company.com
